GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670026001,"Block Group 1, Census Tract 26, Fayette County, Kentucky",210670026001,1526,382,1298,378,85.06,1713,473,1390,502,81.14,1600,332,1382,336,86.38,1597,378,1367,394,85.6,1587,348,1324,355,83.43,1597,271,1519,269,95.12
1500000US210670026002,"Block Group 2, Census Tract 26, Fayette County, Kentucky",210670026002,830,221,793,220,95.54,1939,344,1521,248,78.44,2056,430,1505,328,73.2,1748,436,1228,336,70.25,1934,444,1288,336,66.6,1617,282,1222,256,75.57
1500000US210670030005,"Block Group 5, Census Tract 30, Fayette County, Kentucky",210670030005,2305,261,1076,246,46.68,1592,376,1130,317,70.98,1599,426,1147,331,71.73,1599,432,1092,364,68.29,1584,390,1096,345,69.19,1881,329,1809,340,96.17
1500000US210670030001,"Block Group 1, Census Tract 30, Fayette County, Kentucky",210670030001,740,228,596,183,80.54,893,216,578,157,64.73,936,275,653,172,69.76,821,258,575,205,70.04,779,252,448,177,57.51,998,403,393,121,39.38
1500000US210670030002,"Block Group 2, Census Tract 30, Fayette County, Kentucky",210670030002,1431,370,1355,370,94.69,447,113,420,111,93.96,528,135,454,113,85.98,680,246,596,238,87.65,691,257,627,248,90.74,701,327,448,193,63.91
1500000US210670042051,"Block Group 1, Census Tract 42.05, Fayette County, Kentucky",210670042051,1575,310,1485,315,94.29,386,124,386,124,100,410,121,400,123,97.56,380,98,367,97,96.58,338,112,311,108,92.01,1847,301,1640,299,88.79
1500000US210670030004,"Block Group 4, Census Tract 30, Fayette County, Kentucky",210670030004,674,218,611,196,90.65,703,164,656,156,93.31,684,164,625,151,91.37,642,148,604,147,94.08,584,155,537,146,91.95,647,253,612,258,94.59
1500000US210670034061,"Block Group 1, Census Tract 34.06, Fayette County, Kentucky",210670034061,1403,326,1006,281,71.7,674,155,529,128,78.49,597,128,513,114,85.93,508,112,418,103,82.28,479,124,423,120,88.31,1461,139,1446,143,98.97
1500000US210670039061,"Block Group 1, Census Tract 39.06, Fayette County, Kentucky",210670039061,1794,231,1612,217,89.86,2108,362,862,214,40.89,2104,318,884,215,42.02,2310,301,837,210,36.23,2226,279,794,183,35.67,577,145,577,145,100
1500000US210670042052,"Block Group 2, Census Tract 42.05, Fayette County, Kentucky",210670042052,2425,397,2335,382,96.29,372,100,372,100,100,373,82,373,82,100,440,74,440,74,100,424,84,424,84,100,1810,269,1347,248,74.42
