GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670027003,"Block Group 3, Census Tract 27, Fayette County, Kentucky",210670027003,1392,219,22,31,1.58,2119,334,225,192,10.62,2191,303,203,165,9.27,2132,340,200,185,9.38,1986,387,90,121,4.53,1858,380,33,39,1.78
1500000US210670018002,"Block Group 2, Census Tract 18, Fayette County, Kentucky",210670018002,1502,319,24,37,1.6,996,205,0,11,0,922,187,0,11,0,876,198,0,11,0,974,230,0,11,0,1510,555,0,11,0
1500000US210670026004,"Block Group 4, Census Tract 26, Fayette County, Kentucky",210670026004,585,245,120,143,20.51,1506,212,0,11,0,1493,213,0,11,0,1669,335,18,27,1.08,1566,241,29,33,1.85,1682,489,36,43,2.14
1500000US210670030003,"Block Group 3, Census Tract 30, Fayette County, Kentucky",210670030003,884,408,0,11,0,2587,352,108,97,4.17,2576,286,84,80,3.26,2369,481,78,75,3.29,2143,396,77,73,3.59,2584,591,264,280,10.22
1500000US210670042081,"Block Group 1, Census Tract 42.08, Fayette County, Kentucky",210670042081,3442,490,171,187,4.97,846,255,204,254,24.11,886,271,187,287,21.11,810,285,216,303,26.67,1114,493,185,296,16.61,2709,527,98,103,3.62
1500000US210670042092,"Block Group 2, Census Tract 42.09, Fayette County, Kentucky",210670042092,2418,272,103,101,4.26,2118,276,15,24,0.71,2073,261,31,35,1.5,1978,298,23,35,1.16,2209,355,18,29,0.81,1627,254,42,46,2.58
1500000US210670023021,"Block Group 1, Census Tract 23.02, Fayette County, Kentucky",210670023021,1773,410,97,98,5.47,2528,320,114,175,4.51,2400,355,0,11,0,2233,337,0,11,0,2171,304,0,11,0,1538,214,72,68,4.68
1500000US210670034021,"Block Group 1, Census Tract 34.02, Fayette County, Kentucky",210670034021,2571,463,22,24,0.86,1182,250,55,53,4.65,1275,208,51,50,4,1289,271,51,56,3.96,1280,238,47,57,3.67,1862,320,213,171,11.44
1500000US210670034042,"Block Group 2, Census Tract 34.04, Fayette County, Kentucky",210670034042,1119,254,55,72,4.92,1929,297,0,11,0,1861,251,0,11,0,1879,256,0,11,0,2047,288,0,11,0,1963,382,77,102,3.92
1500000US210670005001,"Block Group 1, Census Tract 5, Fayette County, Kentucky",210670005001,857,151,32,31,3.73,2170,343,171,167,7.88,2159,313,112,143,5.19,2144,356,105,134,4.9,2119,395,98,123,4.62,1449,225,85,68,5.87
1500000US210670004001,"Block Group 1, Census Tract 4, Fayette County, Kentucky",210670004001,671,145,102,69,15.2,2083,410,31,46,1.49,2225,345,0,11,0,2089,317,36,57,1.72,1928,372,134,153,6.95,818,266,141,149,17.24
1500000US210670040012,"Block Group 2, Census Tract 40.01, Fayette County, Kentucky",210670040012,1178,255,192,214,16.3,1798,361,0,11,0,1791,296,0,11,0,1757,334,0,11,0,1816,278,21,33,1.16,1394,274,12,19,0.86
1500000US210670038022,"Block Group 2, Census Tract 38.02, Fayette County, Kentucky",210670038022,689,249,204,193,29.61,1756,350,10,15,0.57,1649,269,0,11,0,1860,392,0,11,0,2113,456,16,26,0.76,2041,461,135,167,6.61
1500000US210670038021,"Block Group 1, Census Tract 38.02, Fayette County, Kentucky",210670038021,468,129,19,32,4.06,1475,377,0,11,0,1606,304,0,11,0,1367,373,0,11,0,1350,366,0,11,0,864,179,39,44,4.51
