GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370106013,106.01.3,8.71,17.86,9.15,7.04,2.41,7.43,25.45,20.94,2.7,25,15.65,39.34,11.63,19.85,6.29,6
470370106021,106.02.1,22.69,20.3,14.89,13.03,20.26,23.1,25.04,32.01,19.23,18.26,17.8,22.3,11.61,9.61,8.43,6.33
470370106022,106.02.2,8.36,8.66,11.75,8.14,10,11.25,5.97,10.16,7.06,8.26,11.79,6.73,9.31,7.46,8.24,6.87
470370107011,107.01.1,11.3,10.91,16.91,10.15,9.46,12.86,12.48,15.82,12.03,11.96,12.86,9.63,10.83,8.07,7.62,9.31
470370107012,107.01.2,10.54,10.8,15.35,7.03,10.64,13.01,17.76,14.68,13.12,12.17,18.33,17.75,15.76,22.61,19.03,14.32
470370107013,107.01.3,9.91,16.05,16,19.63,11.62,6.1,6.69,13.33,6.04,10.84,9.35,10.21,6.06,10.71,9.38,10.15
470370107014,107.01.4,9.52,8.92,8.32,10.69,12.46,11.27,10.08,10.07,8.88,11.83,9.12,14.84,12.2,12.31,5.46,6.25
470370107021,107.02.1,11.42,16.98,14.61,14.8,21.92,15.05,16.55,16.45,17.7,15.64,16.1,16.55,16.02,17.04,16.71,16.57
470370107022,107.02.2,3.97,4.31,3.52,3.74,4.2,5.45,5.91,5.46,6.25,7.05,5.87,4.6,6.9,5.86,5.38,6.22
470370108011,108.01.1,5.31,12.55,8.96,9.33,7.11,11.3,8.71,10.49,6.31,4.39,4.8,5.86,4.09,4.16,4.07,2.45
470370108012,108.01.2,0,9.96,5.96,7.94,23.76,41.5,29.59,31.5,31.43,29.41,20.56,19.64,25.64,16.39,18.9,15.15
470370108013,108.01.3,8.15,8.42,19.57,12.62,9.5,11.99,14.49,17.51,13.38,16.42,14.83,9.03,15.35,13.66,15.16,15.5
470370108021,108.02.1,19.17,19.25,16.97,9.7,6.33,7.54,7.83,8.54,8.38,9.05,3.62,9.82,3.07,4.88,1.47,3.24
470370108022,108.02.2,1.3,1.93,1.26,1.87,1.84,1.81,2.98,0.59,0.58,2.86,2.27,3.38,3.35,1.11,2.2,2.19
470370108023,108.02.3,7.26,11.71,6.81,6.61,4.28,12.47,15.17,9.84,1.92,5.61,2.69,6.88,7.44,5.57,3.07,3.7
470370109011,109.01.1,11.42,8.73,12.23,24.7,20.04,11.22,11.08,33.67,25.87,24.74,25.1,15.84,18.85,21.18,18.23,35.1
470370109012,109.01.2,16.23,14.24,12.35,10.54,11.76,15.8,9.83,12.36,13.44,11.84,19.59,20.61,15.05,5.07,3.83,3.64
470370109013,109.01.3,4.53,7.81,13.2,8.68,10.7,18.99,21.85,21.56,24.32,8,12.24,21.36,10.97,13.64,9.17,6.57
470370109031,109.03.1,7.04,6.82,12.11,4.5,8.05,19.59,14.84,27.5,23.13,18.53,27.62,27.23,16.94,15.08,16.49,20.24
470370109032,109.03.2,14.63,12.69,12.87,14.55,14.27,21.61,20.66,26.5,16.53,14.09,23.93,27.06,22.33,17.38,15.74,15.1
470370109033,109.03.3,9.78,14.13,15.06,19.38,14.49,22.16,25.94,23.47,16.24,15.24,23.6,23.41,12.45,11.94,15.29,12.5
470370109041,109.04.1,3.46,3.34,9.99,8.72,5.12,6.71,9.33,7.96,5.6,5.7,7.55,11,11.89,8.56,8.12,7.69
470370109042,109.04.2,5.09,2.3,6.41,3.65,5.44,7.67,6.29,7.15,7.11,9.73,7.71,5.81,10.46,10.94,6.07,3.32
470370110011,110.01.1,7.12,5.5,5.49,10.01,9.68,11.28,14.82,11.27,15.12,12.54,14.17,13.57,15.11,10.96,9,12.25
470370110012,110.01.2,22.58,20.21,29.31,13.23,15.23,15.28,19.28,15.62,16.16,21.2,29.9,24.19,27.31,23.06,20.77,15.55
470370110013,110.01.3,15.05,13.49,19.29,7.87,8.41,11.49,13.23,18.03,14.73,21.21,14.48,23.29,17.02,15.33,17.7,12.8
470370110014,110.01.4,11.28,7.14,12.49,6.15,8.33,11.19,12.5,12.32,7.86,7.04,11.56,11.18,5.1,8.64,4.79,4.07
470370110015,110.01.5,34.45,22.65,22.08,17.54,21.01,38.75,17.07,13.06,12.78,14.58,12.03,21.89,19.88,8.4,7.54,8.99
470370110021,110.02.1,10.73,5.2,0,0,4.76,9.25,4.5,8.77,4.27,8.33,0,0,14.04,6.67,3.17,6.06
470370110022,110.02.2,24.92,18.93,18.14,9.54,12.86,12.55,9.64,10.95,8.21,11.19,12.79,15.23,15.07,15.36,7.71,6.07
470370111001,111.1,3.24,0,4.91,6.58,4.96,9.97,16.69,6.71,3.37,5.08,4.88,9.38,3.01,2.9,0,0
470370111002,111.2,5.22,4.34,4.92,6.83,3.99,7.12,8.82,4.91,7.79,4.68,3.39,6.55,3.17,3.07,2.97,1.92
470370111003,111.3,0,2.99,14.66,11.49,0,8.29,2.71,0,0,5.13,2.42,2.29,0,0,0,0
470370111004,111.4,2.4,3.2,10.4,8,8.8,12.8,5.6,5.6,4.8,4.8,2.32,0.75,7.94,4.9,2.71,0.66
470370111005,111.5,6.29,4.67,3.09,3.06,1.52,7.51,7.44,10.32,0,7.25,6.98,5.38,2.6,3.77,3.64,3.53
470370112001,112.1,10.62,6.53,8.92,3.43,4.7,2.41,8.67,7.65,10.49,6.76,5.19,3.75,1.2,3.49,1.12,0
470370112002,112.2,11.44,5.74,5.75,1.92,3.86,7.74,3.88,5.84,17.59,1.96,3.7,1.75,5,4.76,4.55,0
470370112003,112.3,8.5,6.49,5.81,11.54,9.55,8.86,7.55,6.88,14.91,11.73,10.76,7.53,6.74,4.91,5.3,5.15
470370112004,112.4,14.04,10.59,8.28,8.33,11.98,15.66,10.91,13.41,7.36,11.11,9.5,8.02,4.42,6.41,5.16,2
470370112005,112.5,4.82,9.58,8.56,9.45,10.33,13.99,14.83,11.05,12.81,9.09,9.04,4.49,9.82,8.88,9.71,3.51
470370112006,112.6,4.25,5.24,10.35,11.25,10.1,18.96,10.85,7.8,14.45,2.86,18.4,16.91,1.72,8.36,1.62,1.57
470370113001,113.1,18.74,16.32,6.96,10.39,14.94,10.3,10.25,13.61,11.29,14.61,7.66,9.61,19.79,10.17,10.93,11.65
470370113002,113.2,6.98,11.72,12.6,5.56,8,11.29,12.2,15.57,5.79,8.33,11.23,10.05,10.45,10.1,4.88,8.11
470370113003,113.3,13.48,10.33,12.6,17.13,13.37,12.92,13.6,18.86,12.68,9.88,6.24,16.61,7.57,9.51,5.68,5.05
470370113004,113.4,15,18.91,25.01,17.14,12.03,9.45,7.56,8.4,10.73,4.48,8.2,7.96,9.09,12.81,15.04,11.3
470370113005,113.5,10.97,10.24,11.12,18.21,14.32,13.08,7.42,10.71,9.1,13.68,12.04,17.35,7.24,6.91,4.76,2.11
470370113006,113.6,14.05,13.16,10.74,12.94,6.79,11.23,14.85,13.25,8.04,10.14,14.34,4.96,9.12,12.5,11,9.52
470370114001,114.1,12.11,15.51,11.37,11.21,8.38,9.77,13.34,9.5,12.26,10.32,14,9.52,6.32,7.31,7.64,5.97
470370114002,114.2,6.7,4.98,6.46,5.79,6.57,5.52,9.66,5.62,9.46,12.6,23.14,15.08,18.73,20.1,12.58,5.88
470370114003,114.3,15.02,9.62,10.38,11.99,9.32,11.74,18.27,15.63,4.07,10.48,8.58,6.8,8.79,7.11,3.45,4.7
470370114004,114.4,5.06,4.39,4.98,8.65,4.91,11.57,6.05,4.2,4.77,7.1,5.1,10.34,4.19,2.52,2.43,1.88
470370114005,114.5,10.84,3.25,9.14,5.43,15.34,37.36,50.76,49.77,41.91,23.64,46.7,74.36,81.33,53.23,35.29,54.2
470370115001,115.1,4.63,10.36,17.05,15.03,2.63,12.69,19.61,4.74,11.47,6.67,3.21,8.25,6.97,3.85,3.72,3.6
470370115002,115.2,4.59,3.6,6.17,8.64,9.33,12.49,8.17,2.41,3.94,6.2,2.97,4.29,4.81,3.31,3.83,4.32
470370115003,115.3,3.35,5.64,3.43,5.78,1.17,5.93,1.2,4.87,3.7,1.25,3.61,4.65,3.37,0,2.11,5.1
470370115004,115.4,4.7,6.96,10.29,6.76,11.12,25.24,16.24,14.96,13.72,2.08,10,8.65,5.56,7.14,5.17,0.83
470370116001,116.1,1.11,10.12,10.28,5.8,5.89,10.78,26.8,13.63,10.08,5.13,2.44,3.5,1.12,0,2.06,0.99
470370116002,116.2,11.46,8.99,5.71,10.59,8.94,6.49,8.91,5.66,16.16,9.68,11.63,2.99,5.76,4.17,4.03,1.95
470370116003,116.3,11.01,8.06,7.32,8.04,8.76,3.64,11.64,7.99,4.35,2.17,5.55,2.66,8.31,4.92,2.96,2.86
470370116004,116.4,9.23,3.68,3.66,9.12,10.91,10.87,9.03,3.6,3.58,7.14,1.69,6.45,1.54,7.35,2.82,4.05
470370116005,116.5,1.44,5.62,1.37,9.41,7.9,7.73,10.1,4.95,1.21,5.95,3.46,7.84,2.17,2.11,1.03,3
470370117001,117.1,18.52,7.02,7.1,3.99,8.87,7.34,4.13,0.83,5.91,4.27,4.95,4.77,1.54,0,2.16,2.1
470370117002,117.2,13.77,14.66,10.68,14.96,12.95,25.74,10.42,10.83,7.49,9.77,6.72,13.38,9.58,13.29,14.03,9.06
470370117003,117.3,7.34,9,4.9,8.63,5.26,4.37,2.84,5.92,4.32,1.94,1.85,1.76,1.13,0.54,2.08,3.5
470370117004,117.4,11.23,7.2,9.6,14.4,7.78,18.4,16.46,12.71,10.48,8.11,12.26,4.26,9.96,4.04,6.31,8.46
470370117005,117.5,13.51,7.96,7.97,10.38,12,20.03,16.85,12.86,7.25,7.26,9.09,7.14,10.14,16.67,22.56,22.09
470370117006,117.6,13.82,11.49,11.47,12.59,7.42,16.52,10.8,10.78,6.23,10.17,9.9,10.71,8.36,6.11,1.99,5.83
470370117007,117.7,13.47,13.05,9.46,7.68,9.75,8.58,10.73,11.58,8.31,11.97,13.03,12.73,7.93,3.19,3.51,3.79
470370118001,118.1,17.78,12.48,19.07,14.25,15.84,20.19,24.71,16.11,12.15,8.76,10.02,15.46,15.17,5.42,7.98,7.19
470370118002,118.2,14.45,13.85,9.34,19.69,14.34,21.77,13.88,18.18,8.37,13.56,6.56,7.94,9.23,3.73,7.25,6.34
470370118003,118.3,79.51,75.11,73.2,33.94,6.79,8.85,22.9,20.09,29.97,33.19,28.93,20.08,25,19.39,12.59,28.16
470370118004,118.4,14.47,12.49,10.77,4.68,1.11,15.42,18.51,20.72,36.12,56.2,58.52,27.95,28.69,32.7,28.53,50.41
470370119001,119.1,8.25,17.97,12.94,5.61,10.32,8.65,7.79,12.35,5.35,6.82,8.61,5.45,1.95,3.1,1.78,1.7
470370119002,119.2,36.12,30.56,24.61,24.21,19.67,7.09,4.29,1.85,8.59,19.49,15.13,10.92,10.74,10.34,13.02,13.05
470370119003,119.3,9.86,13.61,13.05,10.61,10.66,12.59,12.65,12.07,8.3,5.77,4.36,7.86,3.53,3.44,5.02,3.26
470370121001,121.1,8.8,7.43,3.76,6.1,2.32,4.69,2.38,0.8,1.63,3.31,3.17,2.29,4.41,2.13,2.74,1.99
470370121002,121.2,4.58,6.88,5.74,5.18,4.03,2.89,2.89,5.79,4.06,1.74,1.71,6.18,1.1,1.09,1.07,0.53
470370121003,121.3,4.33,12.93,4.29,0,10.64,12.71,8.44,8.4,8.37,4.17,0,9.62,7.41,7.14,8.62,15
470370122001,122.1,9.85,14.22,11.17,8.09,6.88,10.04,8.82,10.11,1.9,5.73,3.05,2.94,0.56,2.72,3.68,0
470370122002,122.2,9.42,5.69,5.74,3.85,7.77,5.87,6.9,3.98,8.02,5.05,3.87,1.86,1.79,3.44,1.66,0.8
470370122003,122.3,14.12,18.77,11.38,10.74,11.63,8.62,7.13,4.81,8.1,4.1,4.68,5.96,1.42,3.41,1.31,1.26
470370126001,126.1,22.89,20.34,22.74,17.1,17.35,21.4,16.31,15.12,13.99,13.15,18.18,15.82,16.33,12.87,9.56,13.15
470370127011,127.01.1,3.82,7.07,8.69,3.79,7.03,11.87,19.38,11.82,7.5,16.58,9.24,11.84,11.4,10.99,6.63,5.56
470370127012,127.01.2,9.04,6.31,8.84,8.84,10.96,14.13,14.98,10.98,10.78,9.3,13.88,12.63,12.42,15.18,12.74,10.63
470370127013,127.01.3,3.61,7.12,4.38,4.32,5.11,6.71,3.31,8.16,4.02,0.79,3.08,4.49,3.64,2.83,2.07,3.36
470370127014,127.01.4,5.68,5.57,8.2,13.4,2.63,11.63,8.88,9.98,6.13,13.25,2.31,8.86,8.51,8.19,3.95,9.52
470370127021,127.02.1,7.44,8.39,6.97,5.63,5.47,6.37,9.29,13.05,6.84,8.57,7.19,9.35,6.45,4.6,2.93,8.39
