GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370119003,119.3,6.78,5.57,6.84,5.62,7.52,8.19,4.43,5.08,3.83,3.85,1.87,4.84,3.53,1.72,1.67,2.17
470370121001,121.1,5.14,4.46,2.26,3.05,0.77,3.91,1.59,0.8,0.81,0.83,0.79,0,2.21,0.71,1.37,0
470370121002,121.2,2.86,4.01,1.72,5.18,3.46,2.31,0,3.48,3.48,1.74,1.14,6.18,0.55,1.09,0.53,0.53
470370121003,121.3,4.33,4.31,4.29,0,8.51,10.59,4.22,2.1,2.09,2.08,0,1.92,0,1.79,1.72,3.33
470370122001,122.1,5.54,10.51,7.44,7.47,5.63,5.65,4.41,4.42,0,4.46,2.44,1.76,0.56,1.09,2.1,0
470370122002,122.2,5.65,3.8,4.78,1.93,5.83,5.87,1.97,0.99,5.01,0,3.87,1.86,1.79,2.58,1.66,0.8
470370122003,122.3,10.4,15.02,9.86,8.44,10.08,6.27,4.75,1.6,1.62,0.82,3.12,2.23,0.71,2.73,0.65,1.26
470370126001,126.1,16.26,9.88,15.72,13.57,13.67,14.77,5.44,6.72,10.03,7.94,13.08,12.79,11.66,9.13,6.3,9.16
470370130001,130.1,0,25,25,0,100,25,25,0,50,0,0,0,25,0,0,0
470370131001,131.1,3.85,7.41,3.57,0,0,3.23,3.13,0,1.47,1.43,0,3.95,1.27,0,0,2.27
470370131002,131.2,1.61,1.55,0,4.34,1.4,1.36,0,0,3.72,3.61,2.24,3.14,4.9,0,0,1.65
470370133001,133.1,1.93,5.69,0.93,2.76,4.52,4.46,3.51,2.6,3.41,3.36,4.14,1.63,5.62,3.96,0.78,0.77
470370133002,133.2,10.64,6.88,8.95,8.9,7.29,4.15,1.55,3.59,6.12,6.09,5.93,5.77,10.3,3.65,3.12,2.17
470370133003,133.3,4.02,3.98,4.38,3.91,5.16,5.54,2.53,2.93,2.49,3.29,3.13,2.97,2.84,2.71,1.62,0.31
470370133004,133.4,7.85,12.17,11.14,11.24,14.85,21.75,11.87,11.09,15.74,22.94,26.13,29.5,23.19,14.81,10.36,5.23
470370134001,134.1,2.76,1.57,2.33,0.77,1.53,1.14,1.13,1.12,0,0.74,1.42,0.68,0.33,0.32,0,0.3
470370134002,134.2,0.57,2.82,2.24,0,3.3,1.63,0.54,0,1.06,0,0.51,0,1.44,0,0,0.88
470370134003,134.3,2.44,2.85,0.81,2.85,1.22,0,1.22,0.41,0.81,0,0,0.38,0,0.7,0.67,0.33
470370135001,135.1,3.44,2.68,3.08,2.71,8.16,2.34,2.74,1.57,2.77,3.17,3.11,3.81,2.62,2.93,1.44,3.53
