"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"1500000US210670037043","Block Group 3, Census Tract 37.04, Fayette County, Kentucky","721","287","721","287","544","283","177","188","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670038021","Block Group 1, Census Tract 38.02, Fayette County, Kentucky","768","257","688","237","643","235","45","72","0","11","0","11","0","11","0","11","0","11","0","11","0","11","80","133","0","11","0","11","0","11","0","11","0","11","80","133","0","11","0","11","0","11"
"1500000US210670038022","Block Group 2, Census Tract 38.02, Fayette County, Kentucky","599","235","542","184","487","190","55","58","0","11","0","11","0","11","0","11","0","11","0","11","0","11","57","64","57","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670038023","Block Group 3, Census Tract 38.02, Fayette County, Kentucky","699","223","519","191","482","178","37","38","0","11","0","11","0","11","0","11","0","11","0","11","0","11","180","157","0","11","77","106","0","11","0","11","0","11","92","114","11","22","0","11","11","22"
"1500000US210670038031","Block Group 1, Census Tract 38.03, Fayette County, Kentucky","525","152","517","153","501","151","0","11","0","11","0","11","0","11","0","11","16","15","0","11","16","15","8","15","8","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670038032","Block Group 2, Census Tract 38.03, Fayette County, Kentucky","2194","351","1937","367","596","154","1202","298","0","11","47","62","0","11","13","20","79","60","0","11","79","60","257","254","32","55","0","11","0","11","0","11","0","11","225","251","0","11","0","11","0","11"
"1500000US210670038033","Block Group 3, Census Tract 38.03, Fayette County, Kentucky","437","125","437","125","408","130","0","11","0","11","0","11","0","11","29","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670038041","Block Group 1, Census Tract 38.04, Fayette County, Kentucky","2719","452","1783","366","408","237","1353","336","0","11","0","11","0","11","0","11","22","47","0","11","22","47","936","327","482","335","72","114","0","11","0","11","0","11","382","367","0","11","0","11","0","11"
"1500000US210670038042","Block Group 2, Census Tract 38.04, Fayette County, Kentucky","625","370","281","165","27","34","233","144","0","11","0","11","0","11","0","11","21","37","0","11","21","37","344","334","175","188","0","11","0","11","0","11","0","11","169","265","0","11","0","11","0","11"
"1500000US210670038043","Block Group 3, Census Tract 38.04, Fayette County, Kentucky","2220","568","1635","446","254","196","1327","365","0","11","1","2","0","11","0","11","53","81","0","11","53","81","585","325","174","212","47","45","0","11","0","11","0","11","137","143","227","157","227","157","0","11"
"1500000US210670039061","Block Group 1, Census Tract 39.06, Fayette County, Kentucky","1935","296","1830","300","1826","301","0","11","0","11","4","8","0","11","0","11","0","11","0","11","0","11","105","90","83","85","14","22","0","11","0","11","0","11","8","12","0","11","0","11","0","11"
"1500000US210670039062","Block Group 2, Census Tract 39.06, Fayette County, Kentucky","2297","279","2246","274","2012","268","49","64","23","32","110","104","0","11","0","11","52","67","0","11","52","67","51","54","51","54","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670039081","Block Group 1, Census Tract 39.08, Fayette County, Kentucky","1092","226","1087","226","833","186","210","182","0","11","44","48","0","11","0","11","0","11","0","11","0","11","5","7","5","7","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1500000US210670039082","Block Group 2, Census Tract 39.08, Fayette County, Kentucky","2531","434","2390","377","1677","335","329","138","0","11","311","211","13","21","0","11","60","68","0","11","60","68","141","221","141","221","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
